iter	RMSE
0	3000.096009
1	2975.335914
2	2951.875061
3	2928.395622
4	2906.69591
5	2885.926643
6	2866.182006
7	2847.501743
8	2829.720863
9	2813.218995
10	2797.798875
11	2782.469978
12	2768.170434
13	2754.340158
14	2741.557527
15	2730.354594
16	2719.499043
17	2708.37958
18	2698.461489
19	2688.428403
20	2678.951344
21	2670.00118
22	2661.550137
23	2653.593504
24	2646.082956
25	2639.282249
26	2632.525976
27	2626.15121
28	2620.298588
29	2615.116158
30	2610.229534
31	2605.119414
32	2600.524497
33	2595.935103
34	2591.697143
35	2587.619105
36	2583.833459
37	2580.518316
38	2577.074568
39	2574.372837
40	2571.510433
41	2568.567336
42	2565.846803
43	2563.283609
44	2561.07185
45	2558.969917
46	2557.143017
47	2555.269816
48	2553.2552
49	2551.577103
50	2549.857924
51	2548.14338
52	2546.526379
53	2545.003161
54	2543.758023
55	2542.38835
56	2541.201777
57	2540.258089
58	2539.092362
59	2538.068887
60	2537.186405
61	2536.372039
62	2535.524693
63	2534.620047
64	2533.845095
65	2533.083642
66	2532.316911
67	2531.593382
68	2530.993445
69	2530.348938
70	2529.770501
71	2529.187636
72	2528.675155
73	2528.130954
74	2527.667731
75	2527.298709
76	2526.867515
77	2526.458319
78	2526.145995
79	2525.756851
80	2525.429534
81	2525.078969
82	2524.767997
83	2524.456699
84	2524.184614
85	2523.913972
86	2523.718101
87	2523.495889
88	2523.247042
89	2523.000553
90	2522.798562
91	2522.618609
92	2522.415321
93	2522.226774
94	2522.028299
95	2521.856659
96	2521.712084
97	2521.551655
98	2521.468876
99	2521.304524
100	2521.175179
101	2521.083664
102	2520.988557
103	2520.883077
104	2520.794856
105	2520.672652
106	2520.552189
107	2520.452418
108	2520.351559
109	2520.240299
110	2520.146878
111	2520.039453
112	2519.951017
113	2519.863597
114	2519.782107
115	2519.747538
116	2519.676957
117	2519.620456
118	2519.557405
119	2519.498262
120	2519.436007
121	2519.361075
122	2519.349382
123	2519.291664
124	2519.258922
125	2519.235396
126	2519.173856
127	2519.112745
128	2519.055882
129	2519.006069
130	2518.946447
131	2518.89313
132	2518.837846
133	2518.779622
134	2518.732556
135	2518.692106
136	2518.661369
137	2518.635365
138	2518.606803
139	2518.578019
140	2518.534661
141	2518.509643
142	2518.501807
143	2518.47745
144	2518.436906
145	2518.404448
146	2518.384547
147	2518.346469
148	2518.31318
149	2518.277665
150	2518.246504
151	2518.234831
152	2518.210222
153	2518.186047
154	2518.156919
155	2518.133998
156	2518.101588
157	2518.079027
158	2518.069177
159	2518.038167
160	2518.029385
161	2518.004465
162	2517.98917
163	2517.980224
164	2517.967249
165	2517.958891
166	2517.936607
167	2517.924065
168	2517.907365
169	2517.887476
170	2517.868404
171	2517.856132
172	2517.844207
173	2517.823478
174	2517.808654
175	2517.79225
176	2517.778618
177	2517.771943
178	2517.769019
179	2517.765542
180	2517.762322
181	2517.754421
182	2517.748765
183	2517.731776
184	2517.726015
185	2517.71291
186	2517.696386
187	2517.696376
188	2517.688039
189	2517.67258
190	2517.663688
191	2517.655601
192	2517.653241
193	2517.646978
194	2517.633263
195	2517.629772
196	2517.62296
197	2517.61529
198	2517.611809
199	2517.599446
200	2517.587136
201	2517.577789
202	2517.575747
203	2517.568901
204	2517.56423
205	2517.564227
206	2517.559333
207	2517.555184
208	2517.543634
209	2517.536992
210	2517.528551
211	2517.52246
212	2517.51251
213	2517.504567
214	2517.502826
215	2517.498827
216	2517.491483
217	2517.483735
218	2517.479866
219	2517.476
220	2517.471869
221	2517.466671
222	2517.46667
223	2517.46293
224	2517.456407
225	2517.453354
226	2517.450435
227	2517.448892
228	2517.445074
229	2517.438268
230	2517.43545
231	2517.432617
232	2517.429766
233	2517.426482
234	2517.419747
235	2517.415241
236	2517.411399
237	2517.40838
238	2517.400852
239	2517.398363
240	2517.39584
241	2517.390243
242	2517.386732
243	2517.385513
244	2517.37828
245	2517.375316
246	2517.373945
247	2517.370482
248	2517.365671
249	2517.359879
250	2517.357992
251	2517.354354
252	2517.351801
253	2517.347318
254	2517.343739
255	2517.342722
256	2517.34106
257	2517.337787
258	2517.336713
259	2517.33556
260	2517.332447
261	2517.329707
262	2517.325896
263	2517.32383
264	2517.320292
265	2517.316402
266	2517.315375
267	2517.314423
268	2517.311175
269	2517.308036
270	2517.30637
271	2517.305393
272	2517.303381
273	2517.299131
274	2517.299131
275	2517.297317
276	2517.295621
277	2517.293864
278	2517.29325
279	2517.290836
280	2517.290255
281	2517.288745
282	2517.2879
283	2517.286979
284	2517.286429
285	2517.285574
286	2517.283979
287	2517.281599
288	2517.279677
289	2517.27739
290	2517.273627
291	2517.271528
292	2517.270214
293	2517.269511
294	2517.267945
295	2517.26543
296	2517.261908
297	2517.25851
298	2517.257491
299	2517.25602
300	2517.253425
301	2517.253425
302	2517.252585
303	2517.251942
304	2517.251319
305	2517.248464
306	2517.246624
307	2517.246624
308	2517.245345
309	2517.243669
310	2517.242149
311	2517.242149
312	2517.241637
313	2517.24047
314	2517.239118
315	2517.238745
316	2517.238167
317	2517.237707
318	2517.236455
319	2517.233877
320	2517.232405
321	2517.231824
322	2517.231275
323	2517.230776
324	2517.229785
325	2517.229309
326	2517.227358
327	2517.226205
328	2517.226205
329	2517.225751
330	2517.225751
331	2517.224502
332	2517.223203
333	2517.221933
334	2517.220409
335	2517.22011
336	2517.21959
337	2517.218772
338	2517.217637
339	2517.217
340	2517.216126
341	2517.215564
342	2517.214828
343	2517.214481
344	2517.213844
345	2517.213354
346	2517.212778
347	2517.211864
348	2517.210989
349	2517.209391
350	2517.208555
351	2517.206885
352	2517.206885
353	2517.205752
354	2517.205444
355	2517.204804
356	2517.204088
357	2517.203113
358	2517.20204
359	2517.20204
360	2517.20204
361	2517.200754
362	2517.200345
363	2517.19925
364	2517.198607
365	2517.197794
366	2517.197229
367	2517.196191
368	2517.195342
369	2517.194455
370	2517.193022
371	2517.192415
372	2517.192074
373	2517.191491
374	2517.190021
375	2517.18944
376	2517.188627
377	2517.187406
378	2517.187112
379	2517.186878
380	2517.186658
381	2517.185427
382	2517.184986
383	2517.184718
384	2517.18422
385	2517.183743
386	2517.183057
387	2517.182805
388	2517.182002
389	2517.182002
390	2517.181636
391	2517.180452
392	2517.180222
393	2517.180012
394	2517.178988
395	2517.178642
396	2517.178207
397	2517.177562
398	2517.177357
399	2517.176305
400	2517.175298
401	2517.174717
402	2517.174035
403	2517.173843
404	2517.173142
405	2517.172967
406	2517.172796
407	2517.17186
408	2517.171015
409	2517.170845
410	2517.17069
411	2517.170057
412	2517.169778
413	2517.169636
414	2517.169329
415	2517.169032
416	2517.168718
417	2517.168588
418	2517.167875
419	2517.167207
420	2517.167085
421	2517.166688
422	2517.16649
423	2517.166091
424	2517.16594
425	2517.165736
426	2517.165296
427	2517.164755
428	2517.164188
429	2517.163682
430	2517.163081
431	2517.162545
432	2517.16185
433	2517.161438
434	2517.161262
435	2517.160777
436	2517.160334
437	2517.159877
438	2517.159658
439	2517.159573
440	2517.159373
441	2517.158839
442	2517.158376
443	2517.158201
444	2517.157912
445	2517.157626
446	2517.157555
447	2517.157354
448	2517.15701
449	2517.156692
450	2517.156514
451	2517.156354
452	2517.15615
453	2517.155965
454	2517.155798
455	2517.155368
456	2517.155152
457	2517.154769
458	2517.154475
459	2517.154208
460	2517.153839
461	2517.153709
462	2517.153335
463	2517.15306
464	2517.152728
465	2517.152484
466	2517.152152
467	2517.151813
468	2517.151505
469	2517.151204
470	2517.150927
471	2517.150806
472	2517.150649
473	2517.150361
474	2517.150138
475	2517.149875
476	2517.149623
477	2517.149532
478	2517.14939
479	2517.14923
480	2517.149013
481	2517.14876
482	2517.148684
483	2517.14855
484	2517.148342
485	2517.148254
486	2517.148077
487	2517.147918
488	2517.147721
489	2517.147573
490	2517.147364
491	2517.14717
492	2517.147076
493	2517.146898
494	2517.146713
495	2517.146539
496	2517.146416
497	2517.146287
498	2517.146193
