iter	Passed	Remaining
0	43	43024
1	78	39059
2	104	34853
3	134	33510
4	161	32219
5	194	32152
6	222	31518
7	250	31096
8	280	30872
9	302	29926
10	325	29287
11	355	29268
12	380	28910
13	407	28679
14	436	28653
15	457	28150
16	481	27850
17	502	27432
18	527	27218
19	556	27264
20	583	27213
21	608	27069
22	636	27037
23	663	26997
24	691	26964
25	724	27144
26	760	27395
27	792	27506
28	823	27563
29	847	27401
30	863	26980
31	880	26637
32	914	26800
33	947	26919
34	976	26931
35	1006	26960
36	1035	26945
37	1059	26815
38	1087	26794
39	1105	26532
40	1132	26482
41	1160	26476
42	1187	26419
43	1213	26357
44	1239	26299
45	1265	26238
46	1285	26060
47	1308	25949
48	1333	25885
49	1358	25819
50	1385	25780
51	1410	25715
52	1439	25727
53	1464	25656
54	1487	25549
55	1516	25560
56	1544	25550
57	1565	25423
58	1597	25479
59	1624	25453
60	1648	25372
61	1670	25276
62	1697	25242
63	1728	25286
64	1753	25227
65	1782	25231
66	1810	25206
67	1835	25161
68	1863	25137
69	1889	25104
70	1916	25076
71	1943	25046
72	1968	25003
73	1995	24965
74	2019	24907
75	2042	24833
76	2068	24790
77	2094	24754
78	2116	24676
79	2143	24648
80	2176	24691
81	2203	24673
82	2226	24601
83	2253	24571
84	2280	24543
85	2307	24528
86	2329	24449
87	2358	24441
88	2385	24414
89	2413	24400
90	2439	24367
91	2464	24321
92	2493	24322
93	2520	24288
94	2543	24227
95	2565	24155
96	2592	24138
97	2614	24067
98	2639	24025
99	2668	24016
100	2692	23966
101	2715	23911
102	2739	23856
103	2763	23805
104	2787	23763
105	2814	23735
106	2841	23718
107	2865	23669
108	2893	23656
109	2921	23639
110	2946	23599
111	2971	23560
112	2997	23525
113	3022	23490
114	3047	23452
115	3068	23380
116	3094	23357
117	3120	23323
118	3148	23312
119	3179	23313
120	3204	23281
121	3230	23250
122	3246	23147
123	3271	23108
124	3292	23045
125	3312	22974
126	3337	22940
127	3363	22916
128	3386	22865
129	3412	22839
130	3439	22819
131	3465	22788
132	3490	22752
133	3513	22703
134	3541	22690
135	3565	22653
136	3591	22626
137	3616	22590
138	3639	22541
139	3661	22494
140	3686	22458
141	3707	22400
142	3727	22341
143	3748	22284
144	3773	22249
145	3800	22231
146	3818	22160
147	3841	22114
148	3864	22069
149	3893	22060
150	3915	22016
151	3933	21943
152	3959	21920
153	3983	21883
154	4009	21856
155	4030	21803
156	4056	21778
157	4085	21771
158	4105	21716
159	4130	21683
160	4156	21660
161	4179	21622
162	4199	21566
163	4222	21524
164	4244	21481
165	4262	21414
166	4290	21399
167	4313	21360
168	4338	21330
169	4364	21309
170	4389	21281
171	4411	21238
172	4431	21186
173	4458	21163
174	4484	21142
175	4511	21121
176	4539	21105
177	4559	21055
178	4576	20989
179	4592	20921
180	4611	20867
181	4629	20805
182	4649	20757
183	4677	20742
184	4699	20704
185	4723	20671
186	4750	20653
187	4763	20575
188	4781	20518
189	4807	20493
190	4829	20456
191	4846	20396
192	4862	20332
193	4881	20282
194	4906	20255
195	4926	20207
196	4950	20180
197	4973	20143
198	4990	20087
199	5013	20053
200	5039	20033
201	5067	20017
202	5082	19953
203	5105	19920
204	5124	19871
205	5144	19829
206	5163	19781
207	5184	19739
208	5210	19718
209	5230	19677
210	5259	19667
211	5281	19631
212	5307	19608
213	5331	19583
214	5350	19535
215	5371	19497
216	5398	19480
217	5423	19456
218	5445	19421
219	5466	19382
220	5490	19354
221	5512	19320
222	5528	19261
223	5548	19221
224	5575	19203
225	5596	19165
226	5616	19125
227	5635	19080
228	5658	19051
229	5685	19033
230	5701	18979
231	5719	18934
232	5740	18896
233	5758	18850
234	5783	18828
235	5804	18789
236	5827	18761
237	5847	18721
238	5872	18698
239	5889	18651
240	5909	18612
241	5935	18591
242	5957	18559
243	5975	18513
244	6002	18496
245	6022	18458
246	6041	18417
247	6058	18369
248	6084	18350
249	6108	18326
250	6129	18289
251	6155	18269
252	6174	18231
253	6200	18211
254	6225	18188
255	6243	18144
256	6258	18092
257	6280	18061
258	6294	18008
259	6312	17966
260	6334	17936
261	6359	17914
262	6383	17887
263	6403	17852
264	6426	17825
265	6453	17808
266	6470	17764
267	6489	17724
268	6512	17698
269	6535	17669
270	6559	17645
271	6579	17610
272	6603	17584
273	6627	17559
274	6642	17512
275	6660	17471
276	6682	17442
277	6702	17407
278	6716	17357
279	6734	17317
280	6753	17279
281	6775	17251
282	6793	17210
283	6807	17163
284	6822	17116
285	6837	17069
286	6860	17043
287	6881	17012
288	6900	16975
289	6923	16949
290	6950	16934
291	6973	16908
292	6991	16869
293	7009	16832
294	7030	16802
295	7054	16779
296	7079	16757
297	7106	16740
298	7128	16713
299	7151	16687
300	7174	16661
301	7190	16618
302	7208	16580
303	7225	16542
304	7244	16508
305	7269	16486
306	7294	16465
307	7308	16421
308	7327	16385
309	7349	16357
310	7372	16332
311	7388	16292
312	7404	16251
313	7421	16213
314	7439	16178
315	7455	16138
316	7474	16103
317	7491	16067
318	7508	16029
319	7534	16011
320	7559	15989
321	7576	15952
322	7590	15910
323	7607	15871
324	7625	15836
325	7639	15794
326	7664	15774
327	7687	15749
328	7704	15713
329	7721	15677
330	7735	15633
331	7758	15610
332	7781	15585
333	7802	15558
334	7829	15541
335	7845	15503
336	7863	15469
337	7883	15441
338	7902	15409
339	7921	15377
340	7942	15349
341	7962	15320
342	7984	15293
343	8004	15264
344	8024	15234
345	8036	15190
346	8053	15155
347	8073	15126
348	8093	15097
349	8121	15082
350	8136	15044
351	8162	15026
352	8179	14991
353	8202	14969
354	8222	14939
355	8243	14912
356	8265	14887
357	8289	14865
358	8315	14846
359	8331	14811
360	8346	14773
361	8373	14757
362	8389	14722
363	8411	14696
364	8431	14668
365	8452	14641
366	8470	14610
367	8496	14592
368	8520	14569
369	8539	14539
370	8561	14514
371	8582	14488
372	8598	14454
373	8618	14425
374	8643	14406
375	8665	14381
376	8689	14359
377	8713	14338
378	8730	14304
379	8745	14268
380	8764	14239
381	8788	14218
382	8808	14190
383	8823	14155
384	8845	14129
385	8864	14100
386	8888	14079
387	8905	14046
388	8932	14030
389	8949	13997
390	8965	13964
391	8992	13947
392	9008	13913
393	9026	13883
394	9051	13863
395	9072	13837
396	9093	13812
397	9119	13793
398	9137	13763
399	9163	13744
400	9191	13730
401	9214	13707
402	9238	13685
403	9256	13655
404	9284	13640
405	9298	13604
406	9316	13573
407	9342	13555
408	9365	13533
409	9381	13500
410	9398	13468
411	9422	13446
412	9441	13419
413	9460	13390
414	9478	13361
415	9500	13336
416	9518	13307
417	9533	13273
418	9555	13249
419	9579	13228
420	9596	13197
421	9621	13177
422	9639	13148
423	9667	13132
424	9694	13115
425	9710	13083
426	9728	13054
427	9754	13035
428	9777	13014
429	9807	13000
430	9833	12982
431	9861	12965
432	9886	12945
433	9908	12922
434	9927	12893
435	9951	12873
436	9980	12857
437	10008	12842
438	10030	12818
439	10049	12790
440	10072	12767
441	10108	12761
442	10138	12747
443	10161	12724
444	10189	12708
445	10221	12696
446	10240	12668
447	10263	12645
448	10284	12620
449	10310	12601
450	10332	12577
451	10353	12552
452	10372	12525
453	10398	12506
454	10419	12480
455	10442	12457
456	10463	12432
457	10486	12410
458	10518	12397
459	10541	12374
460	10568	12356
461	10593	12335
462	10621	12319
463	10651	12303
464	10683	12291
465	10709	12271
466	10741	12259
467	10772	12245
468	10799	12227
469	10829	12211
470	10859	12197
471	10887	12179
472	10921	12168
473	10956	12158
474	10990	12146
475	11026	12138
476	11058	12125
477	11091	12112
478	11110	12084
479	11133	12061
480	11164	12046
481	11189	12025
482	11211	12000
483	11236	11979
484	11263	11959
485	11289	11940
486	11315	11919
487	11339	11897
488	11366	11877
489	11383	11848
490	11410	11828
491	11437	11808
492	11463	11788
493	11493	11772
494	11525	11758
495	11551	11737
496	11580	11720
497	11605	11698
498	11631	11678
499	11645	11645
500	11670	11624
501	11696	11603
502	11723	11583
503	11750	11564
504	11774	11541
505	11798	11519
506	11827	11500
507	11853	11480
508	11883	11463
509	11909	11442
510	11930	11416
511	11960	11399
512	11987	11380
513	12010	11356
514	12032	11331
515	12062	11314
516	12092	11297
517	12122	11280
518	12152	11262
519	12173	11237
520	12205	11221
521	12234	11203
522	12265	11186
523	12292	11166
524	12316	11143
525	12344	11123
526	12368	11101
527	12402	11087
528	12429	11066
529	12457	11046
530	12483	11026
531	12510	11005
532	12538	10985
533	12567	10967
534	12599	10951
535	12624	10929
536	12644	10902
537	12671	10881
538	12701	10863
539	12726	10841
540	12757	10823
541	12778	10798
542	12800	10773
543	12833	10757
544	12862	10738
545	12895	10722
546	12921	10700
547	12938	10671
548	12958	10645
549	12986	10625
550	13011	10602
551	13039	10582
552	13074	10568
553	13096	10543
554	13114	10514
555	13141	10494
556	13166	10471
557	13194	10451
558	13223	10432
559	13252	10412
560	13285	10395
561	13314	10377
562	13344	10357
563	13373	10338
564	13402	10318
565	13432	10299
566	13451	10272
567	13483	10254
568	13511	10234
569	13542	10216
570	13572	10197
571	13601	10177
572	13630	10157
573	13653	10133
574	13683	10114
575	13712	10094
576	13741	10074
577	13761	10047
578	13790	10027
579	13823	10009
580	13853	9990
581	13881	9969
582	13907	9947
583	13933	9925
584	13963	9905
585	13994	9886
586	14024	9867
587	14045	9841
588	14076	9822
589	14105	9802
590	14133	9781
591	14165	9762
592	14204	9748
593	14237	9731
594	14257	9704
595	14275	9676
596	14295	9649
597	14321	9627
598	14346	9604
599	14375	9583
600	14403	9562
601	14432	9541
602	14460	9520
603	14491	9500
604	14519	9479
605	14530	9447
606	14556	9424
607	14583	9402
608	14614	9383
609	14647	9364
610	14675	9343
611	14703	9321
612	14731	9300
613	14759	9279
614	14787	9257
615	14816	9236
616	14844	9214
617	14876	9195
618	14905	9174
619	14932	9152
620	14963	9132
621	14984	9106
622	15008	9082
623	15042	9063
624	15069	9041
625	15095	9018
626	15121	8995
627	15151	8974
628	15177	8952
629	15203	8929
630	15231	8907
631	15256	8883
632	15283	8860
633	15305	8835
634	15332	8812
635	15361	8791
636	15385	8767
637	15408	8743
638	15435	8720
639	15465	8699
640	15493	8677
641	15519	8654
642	15547	8632
643	15575	8609
644	15603	8587
645	15628	8564
646	15655	8541
647	15684	8519
648	15709	8496
649	15738	8474
650	15764	8451
651	15789	8427
652	15815	8404
653	15842	8381
654	15867	8357
655	15894	8334
656	15922	8312
657	15948	8289
658	15976	8267
659	16001	8243
660	16029	8220
661	16059	8199
662	16088	8177
663	16117	8155
664	16144	8133
665	16169	8109
666	16197	8086
667	16220	8061
668	16246	8038
669	16272	8015
670	16298	7991
671	16323	7967
672	16350	7944
673	16373	7919
674	16398	7895
675	16427	7873
676	16452	7849
677	16478	7826
678	16502	7801
679	16532	7779
680	16557	7756
681	16583	7732
682	16608	7708
683	16635	7685
684	16659	7661
685	16685	7637
686	16709	7612
687	16730	7587
688	16758	7564
689	16784	7540
690	16811	7517
691	16840	7495
692	16865	7471
693	16890	7447
694	16917	7424
695	16942	7400
696	16965	7375
697	16990	7351
698	17018	7328
699	17045	7305
700	17070	7281
701	17098	7258
702	17124	7234
703	17147	7209
704	17177	7187
705	17201	7163
706	17228	7139
707	17255	7116
708	17282	7093
709	17307	7069
710	17334	7045
711	17359	7021
712	17381	6996
713	17407	6972
714	17430	6947
715	17455	6923
716	17480	6899
717	17506	6875
718	17533	6852
719	17559	6828
720	17585	6804
721	17614	6782
722	17641	6758
723	17665	6734
724	17692	6711
725	17717	6686
726	17744	6663
727	17771	6639
728	17792	6614
729	17814	6588
730	17842	6565
731	17867	6541
732	17890	6516
733	17916	6492
734	17941	6468
735	17969	6445
736	17997	6422
737	18026	6399
738	18053	6376
739	18078	6352
740	18104	6328
741	18131	6304
742	18157	6280
743	18178	6254
744	18205	6231
745	18229	6206
746	18251	6181
747	18277	6157
748	18304	6134
749	18330	6110
750	18358	6086
751	18380	6061
752	18409	6038
753	18436	6015
754	18462	5991
755	18489	5967
756	18512	5942
757	18537	5918
758	18564	5894
759	18588	5869
760	18613	5845
761	18641	5822
762	18665	5797
763	18695	5775
764	18723	5751
765	18750	5727
766	18774	5703
767	18801	5679
768	18826	5655
769	18852	5631
770	18876	5606
771	18905	5583
772	18932	5559
773	18958	5535
774	18985	5511
775	19017	5489
776	19041	5465
777	19068	5441
778	19095	5417
779	19119	5392
780	19146	5368
781	19173	5344
782	19199	5321
783	19225	5296
784	19252	5273
785	19274	5247
786	19300	5223
787	19329	5200
788	19357	5176
789	19382	5152
790	19407	5128
791	19433	5103
792	19456	5078
793	19472	5052
794	19499	5028
795	19527	5004
796	19553	4980
797	19581	4956
798	19608	4932
799	19633	4908
800	19659	4884
801	19690	4861
802	19716	4837
803	19743	4813
804	19769	4788
805	19794	4764
806	19825	4741
807	19847	4716
808	19880	4693
809	19905	4669
810	19928	4644
811	19951	4619
812	19979	4595
813	20009	4572
814	20035	4547
815	20062	4523
816	20090	4500
817	20120	4476
818	20148	4452
819	20172	4428
820	20197	4403
821	20224	4379
822	20253	4355
823	20281	4331
824	20310	4308
825	20334	4283
826	20358	4258
827	20387	4235
828	20412	4210
829	20438	4186
830	20468	4162
831	20492	4137
832	20518	4113
833	20544	4089
834	20571	4065
835	20598	4040
836	20625	4016
837	20654	3992
838	20681	3968
839	20708	3944
840	20734	3920
841	20759	3895
842	20786	3871
843	20815	3847
844	20840	3822
845	20868	3798
846	20895	3774
847	20925	3750
848	20952	3726
849	20980	3702
850	21008	3678
851	21035	3654
852	21058	3628
853	21080	3604
854	21094	3577
855	21119	3552
856	21145	3528
857	21169	3503
858	21198	3479
859	21225	3455
860	21250	3430
861	21274	3405
862	21301	3381
863	21325	3356
864	21351	3332
865	21374	3307
866	21404	3283
867	21428	3258
868	21456	3234
869	21483	3210
870	21508	3185
871	21534	3161
872	21562	3136
873	21590	3112
874	21619	3088
875	21646	3064
876	21672	3039
877	21701	3015
878	21717	2989
879	21741	2964
880	21766	2940
881	21795	2915
882	21825	2891
883	21850	2867
884	21876	2842
885	21902	2818
886	21927	2793
887	21953	2768
888	21979	2744
889	22005	2719
890	22028	2694
891	22055	2670
892	22083	2646
893	22109	2621
894	22134	2596
895	22160	2572
896	22185	2547
897	22204	2522
898	22230	2497
899	22256	2472
900	22284	2448
901	22307	2423
902	22336	2399
903	22358	2374
904	22386	2349
905	22414	2325
906	22441	2301
907	22464	2276
908	22490	2251
909	22517	2226
910	22546	2202
911	22571	2177
912	22600	2153
913	22626	2128
914	22651	2104
915	22679	2079
916	22702	2054
917	22730	2030
918	22756	2005
919	22787	1981
920	22811	1956
921	22839	1932
922	22864	1907
923	22891	1882
924	22918	1858
925	22942	1833
926	22971	1808
927	22997	1784
928	23024	1759
929	23047	1734
930	23075	1710
931	23100	1685
932	23127	1660
933	23154	1636
934	23179	1611
935	23207	1586
936	23234	1562
937	23260	1537
938	23285	1512
939	23309	1487
940	23337	1463
941	23362	1438
942	23391	1413
943	23415	1389
944	23438	1364
945	23465	1339
946	23491	1314
947	23518	1290
948	23539	1265
949	23568	1240
950	23592	1215
951	23616	1190
952	23644	1166
953	23666	1141
954	23690	1116
955	23717	1091
956	23741	1066
957	23767	1041
958	23796	1017
959	23821	992
960	23844	967
961	23870	942
962	23893	918
963	23922	893
964	23947	868
965	23973	843
966	23999	818
967	24025	794
968	24052	769
969	24076	744
970	24101	719
971	24128	695
972	24155	670
973	24182	645
974	24207	620
975	24233	595
976	24259	571
977	24286	546
978	24311	521
979	24339	496
980	24354	471
981	24381	446
982	24407	422
983	24434	397
984	24461	372
985	24486	347
986	24512	322
987	24536	298
988	24563	273
989	24589	248
990	24614	223
991	24643	198
992	24671	173
993	24701	149
994	24725	124
995	24754	99
996	24782	74
997	24806	49
998	24832	24
999	24859	0
